seq_id,mono_ptm,mono_plddt,avg_iptm,comp_ptm,comp_plddt
RFD_27_best,0.8423871795336405,0.9278993407885233,0.8849701086680094,0.8449289600054423,0.7236852844556173
RFD_139_best,0.6623009840647379,0.7693971991539001,0.8837107022603353,0.9004881779352824,0.6762596964836121
RFD_122_best,0.7781725525856018,0.9481687943140665,0.8824732104937235,0.8475883801778158,0.7169436613718668
RFD_195_best,0.6752225557963053,0.749030868212382,0.8802501559257507,0.8432152469952902,0.7153203288714091
RFD_63_best,0.48223068316777545,0.7024227380752563,0.8800305128097534,0.8438738981882731,0.8006531993548075
RFD_56_best,0.8710641662279764,0.9424719413121542,0.87898188829422,0.8129898111025492,0.8057673573493958
RFD_199_best,0.4638422131538391,0.699296752611796,0.8734724919001261,0.851944367090861,0.6723888516426086
RFD_97_best,0.8592514594395956,0.9249721964200338,0.8715053796768188,0.8450500766436259,0.7320011456807455
RFD_167_best,0.6368798812230428,0.9323405623435974,0.8703163862228394,0.880923867225647,0.6848812103271484
RFD_38_best,0.8402766386667887,0.9569213191668192,0.8698364694913229,0.8492332895596822,0.7964322964350382
RFD_114_best,0.7783177892367045,0.9201839764912924,0.8636165459950765,0.8548228939374288,0.7575374841690063
RFD_37_best,0.8985588550567627,0.9505037466684977,0.8589104811350504,0.8212525844573975,0.7746692697207133
RFD_1_best,0.8348573048909506,0.939179261525472,0.8535277843475342,0.8694331049919128,0.694889505704244
RFD_126_best,0.47484304507573444,0.8624096115430196,0.8493250807126363,0.8125825921694437,0.6466955542564392
RFD_162_best,0.6184154748916626,0.7579386035601298,0.8461701472600301,0.846350093682607,0.6692839860916138
RFD_106_best,0.7811975280443827,0.8574767510096232,0.8441787759462992,0.8730849424997965,0.6692874232927958
RFD_91_best,0.68391881386439,0.8596054116884867,0.8381648659706116,0.8061718146006266,0.731879731019338
RFD_3_best,0.6501342455546061,0.926047682762146,0.8280949791272482,0.7767891883850098,0.8218309680620829
RFD_52_best,0.899544338385264,0.9561410148938497,0.8260839978853861,0.8516931335131327,0.7685693303743998
RFD_10_best,0.8753931522369385,0.9304711620012919,0.8230687975883484,0.8308796882629395,0.7072178920110067
RFD_16_best,0.8827962478001913,0.9278698364893595,0.8198715845743815,0.8377283016840616,0.7383610606193542
RFD_152_best,0.8420489430427551,0.9458894729614258,0.8171302278836569,0.8366135358810425,0.7954292893409729
RFD_118_best,0.8597211043039957,0.9637706279754639,0.8145960569381714,0.8672364552815756,0.7290599942207336
RFD_89_best,0.6027266581853231,0.8210254311561584,0.8050447702407837,0.8061967094739279,0.6694941520690918
RFD_173_best,0.9340082804361979,0.9710116187731425,0.8020056883494059,0.866178830464681,0.7302143375078837
RFD_30_best,0.5155597229798635,0.8061973651250204,0.798678477605184,0.8109306693077087,0.6401200691858927
RFD_90_best,0.589472234249115,0.8195218642552694,0.7948278188705444,0.7899864315986633,0.6690055330594381
RFD_20_best,0.8093738555908203,0.957656462987264,0.7935941020647684,0.7979262272516886,0.721714437007904
RFD_132_best,0.7711905241012573,0.9283809661865234,0.7913462519645691,0.7794696887334188,0.7523021101951599
RFD_131_best,0.889939030011495,0.9675728480021158,0.7868478298187256,0.7638781666755676,0.7993178168932596
RFD_142_best,0.6226036548614502,0.9026243487993876,0.7837468584378561,0.8003407716751099,0.7072931130727133
RFD_172_best,0.861096978187561,0.9521144032478333,0.7824955781300863,0.804113527139028,0.8116176724433899
RFD_33_best,0.8900726636250814,0.9748589396476746,0.7789461016654968,0.8101662000020345,0.7182775735855103
RFD_74_best,0.5743634502092997,0.9231722156206766,0.775382936000824,0.7879570921262106,0.6756388147672018
RFD_120_best,0.7515382369359335,0.9474186499913534,0.7735660274823507,0.7863983313242594,0.7155320644378662
RFD_5_best,0.5568510293960571,0.8103429873784384,0.769777516523997,0.7832285563151041,0.6598271131515503
RFD_84_best,0.5842702190081278,0.8830333948135376,0.7682072321573893,0.7824168006579081,0.7348764538764954
RFD_64_best,0.5266375740369161,0.873219887415568,0.763608713944753,0.8017251888910929,0.6564966440200806
RFD_58_best,0.7311691045761108,0.9156164526939392,0.7579442461331686,0.7896097699801127,0.7554831504821777
RFD_148_best,0.6185577909151713,0.8190467158953348,0.7544293800989786,0.7789435386657715,0.6933141350746155
RFD_110_best,0.885574996471405,0.9538163344065348,0.7516395350297292,0.823697050412496,0.7428688208262125
RFD_78_best,0.6395662228266398,0.9244970083236694,0.7510579824447632,0.7422905166943868,0.66487056016922
RFD_46_best,0.884421149889628,0.955295185248057,0.7488239804903666,0.7576160629590353,0.7860568364461263
RFD_185_best,0.7776036858558655,0.9385189016660055,0.7442414363225301,0.7641381621360779,0.7942197918891907
RFD_21_best,0.6202598810195923,0.793579121430715,0.7364410956700643,0.7777284582455953,0.7154471278190613
RFD_12_best,0.5054597655932108,0.9169845978418986,0.7345880270004272,0.7455920775731405,0.7056267658869425
RFD_47_best,0.48974507053693134,0.8973629474639893,0.7339378794034322,0.7597311536471049,0.7862310806910197
RFD_39_best,0.7999233404795328,0.9551974534988403,0.7299530506134033,0.7269888122876486,0.7556952238082886
RFD_165_best,0.44001467029253644,0.7134754061698914,0.7290712594985962,0.7122312386830648,0.7266467809677124
RFD_32_best,0.8654394149780273,0.9551525513331095,0.7282945315043131,0.7371986905733744,0.7925907373428345
RFD_2_best,0.8541254003842672,0.9389622608820597,0.727606197198232,0.8020859559377035,0.7693491578102112
RFD_108_best,0.5828532576560974,0.7608403960863749,0.7254435221354166,0.7553812066713969,0.6512950460116068
RFD_28_best,0.7932781179745992,0.9354288776715597,0.7233517169952393,0.7923881610234579,0.7358224789301554
RFD_35_best,0.7499014139175415,0.9677945772806803,0.7178085048993429,0.7285021344820658,0.7681923111279806
RFD_181_best,0.7310929099718729,0.9196171363194784,0.711193323135376,0.7559182246526083,0.7523360451062521
RFD_146_best,0.6789290110270182,0.9769514401753744,0.7101763685544332,0.7319843769073486,0.6591100891431173
RFD_29_best,0.7826640009880066,0.8689080278078715,0.7005110383033752,0.7920987208684286,0.6976186633110046
RFD_164_best,0.5488836566607157,0.9437757730484009,0.6963026722272238,0.7317765553792318,0.7665324608484904
RFD_138_best,0.693684458732605,0.8846077720324198,0.6957352956136068,0.6871347228686014,0.7761264244715372
RFD_169_best,0.5345711509386698,0.8068661292394003,0.6923271715641022,0.7554369370142618,0.592052698135376
RFD_50_best,0.6230585177739462,0.7874608834584554,0.6888902684052786,0.753311276435852,0.6431135535240173
RFD_13_best,0.8659938176472982,0.9569580753644308,0.6845821142196655,0.7304828564325968,0.8223276336987814
RFD_125_best,0.4488254487514496,0.6669538617134094,0.6792698005835215,0.7566614151000977,0.6248809099197388
RFD_192_best,0.89584747950236,0.971904476483663,0.6757790346940359,0.7291044592857361,0.7562124133110046
RFD_4_best,0.9222568869590759,0.9629849195480347,0.6658907830715179,0.7797851165135702,0.7385103503863016
RFD_69_best,0.8995650013287863,0.9673222700754801,0.6653755307197571,0.7291879057884216,0.7990866899490356
RFD_60_best,0.849977989991506,0.932120700677236,0.6633564631144205,0.7089152336120605,0.7575690547625223
RFD_115_best,0.48157330354054767,0.8448050022125244,0.6573740144570669,0.6716468532880148,0.6749369104703268
RFD_143_best,0.8871530691782633,0.9569296836853027,0.6567617257436117,0.7667284806569418,0.7564928730328878
RFD_161_best,0.8687490224838257,0.9438402454058329,0.6546016534169515,0.747199018796285,0.7871572375297546
RFD_0_best,0.5275370875994364,0.8769357403119405,0.6507832606633505,0.7097646395365397,0.7203101317087809
RFD_103_best,0.8168193101882935,0.9200318058331808,0.6500031550725301,0.7182796597480774,0.7856233914693197
RFD_100_best,0.6302857200304667,0.8808266520500183,0.6495578289031982,0.7222679853439331,0.6836572289466858
RFD_107_best,0.5944056510925293,0.8758034507433573,0.6468716661135355,0.7170705000559489,0.6802695790926615
RFD_92_best,0.9457295338312784,0.959577719370524,0.6461088458697001,0.6967218319574991,0.7581916451454163
RFD_123_best,0.891603151957194,0.9601008097330729,0.6409275233745575,0.7268922328948975,0.736896018187205
RFD_70_best,0.8025450309117635,0.8527504603068033,0.6396398941675822,0.6780571142832438,0.7399333318074545
RFD_134_best,0.8716574907302856,0.956028680006663,0.63553786277771,0.7611064712206522,0.6809617082277933
RFD_105_best,0.6501653989156088,0.9178781906763712,0.6313642064730326,0.6458780566851298,0.6740718285242716
RFD_15_best,0.5783510208129883,0.8471471071243286,0.6256106893221537,0.7100134491920471,0.6504992246627808
RFD_119_best,0.5940478245417277,0.8046868244806925,0.6208607256412506,0.7163795630137125,0.6586997111638387
RFD_183_best,0.7895212968190511,0.9628975987434387,0.6149729192256927,0.7376085122426351,0.7481178045272827
RFD_168_best,0.7674803336461385,0.874615212281545,0.6135878960291544,0.7063874999682108,0.6861055890719095
RFD_88_best,0.8070125579833984,0.9221121271451315,0.6129480997721354,0.7271216114362081,0.7365768949190775
RFD_137_best,0.9102481802304586,0.9705057541529337,0.6075119972229004,0.7244970401128134,0.7500451604525248
RFD_87_best,0.8518938223520914,0.9655320247014364,0.6017984052499136,0.6854417522748312,0.7558117310206095
RFD_121_best,0.8792101343472799,0.969032088915507,0.6000222961107889,0.7046321431795756,0.8021919329961141
RFD_41_best,0.6543724735577902,0.8683890302975973,0.5937826931476593,0.709991067647934,0.6733582615852356
RFD_48_best,0.7862057288487753,0.9331263899803162,0.5924167533715566,0.7065102060635885,0.7419790625572205
RFD_180_best,0.5858097473780314,0.945469597975413,0.5916267236073812,0.6994832555452982,0.6817325552304586
RFD_102_best,0.8785350720087687,0.9449101686477661,0.5825752218564352,0.7287550965944926,0.8150478402773539
RFD_130_best,0.5959718028704325,0.9422584374745687,0.5772996743520101,0.6814564863840739,0.7025874058405558
RFD_136_best,0.6577859123547872,0.7204665144284567,0.576502243677775,0.6518208185831705,0.684859832127889
RFD_18_best,0.6456842621167501,0.8350260257720947,0.5716029405593872,0.6234122117360433,0.6789488991101583
RFD_42_best,0.7237754861513773,0.9391122261683146,0.5659477313359579,0.6743024984995524,0.7750311295191447
RFD_113_best,0.864997923374176,0.9591061472892761,0.5637532373269399,0.6882375081380209,0.7432403365770975
RFD_184_best,0.6622701287269592,0.8888023296991984,0.5571578939755758,0.6347615321477255,0.7132458686828613
RFD_191_best,0.5090694824854533,0.9135440985361735,0.5533566077550253,0.6545769373575846,0.7199274301528931
RFD_44_best,0.662971556186676,0.8657615780830383,0.5395090878009796,0.6743136843045553,0.6878339250882467
RFD_94_best,0.6061140696207682,0.8991735776265463,0.5364493330319723,0.6263342499732971,0.6974764068921407
RFD_147_best,0.8720821539560953,0.965572734673818,0.5341975589593252,0.6995237469673157,0.7371326684951782
RFD_53_best,0.6623015403747559,0.8551876743634542,0.5136237541834513,0.6612731417020162,0.7204170425732931
RFD_9_best,0.6049596071243286,0.7625607053438822,0.5093339482943217,0.6236882011095682,0.6711918115615845
RFD_153_best,0.45723527669906616,0.9491027196248373,0.4949480891227722,0.6034018496672312,0.7655682961146036
RFD_95_best,0.6998283465703329,0.9152543743451437,0.4916610320409139,0.6196333765983582,0.6891488830248514
RFD_67_best,0.8607997894287109,0.9458669821421305,0.49060781796773273,0.628460685412089,0.7399883071581522
RFD_176_best,0.5651527047157288,0.9350960453351339,0.4901660531759262,0.6205165286858877,0.797213613986969
RFD_11_best,0.8175219297409058,0.9262708028157552,0.42526795466740924,0.595055103302002,0.7164296309153239
RFD_82_best,0.6833777030309042,0.85635377963384,0.4102706213792165,0.5661743481953939,0.7323063413302103
RFD_157_best,0.8976281881332397,0.9489481647809347,0.4081946611404419,0.605804959932963,0.7937856515248617
RFD_55_best,0.71325155099233,0.8675979773203532,0.3933727939923604,0.5634008049964905,0.8151400089263916
RFD_61_best,0.8408761223157247,0.8885626196861267,0.3929200967152913,0.6044949293136597,0.6959911386171976
RFD_65_best,0.5096476972103119,0.8075608809789022,0.3775390336910884,0.562906414270401,0.605942169825236
RFD_31_best,0.6305250525474548,0.9512649575869242,0.3669811859726906,0.5715302924315134,0.7477295200030009
RFD_187_best,0.6327889959017435,0.9313499927520752,0.3601819227139155,0.5749198893706003,0.6887150009473165
RFD_81_best,0.4631829857826233,0.8888664642969767,0.31750760475794476,0.5408373475074768,0.7631243666013082
RFD_109_best,0.7099977334340414,0.8552976648012797,0.31237103541692096,0.5583386818567911,0.6623757680257162
RFD_150_best,0.8809276223182678,0.971732477347056,0.31005146602789563,0.5482376019159952,0.6814558903376261
